cohort,gene_symbol,hedges_g,variance
GSE96804,IGKV4-1,0.6361158381102977,0.07781942491510653
GSE96804,IGKV5-2,0.11954162342000423,0.07451134728998046
GSE96804,IGLC7,1.0659347680268798,0.08401920093369765
GSE96804,IGLL1,0.6778951395860862,0.07828466610815461
GSE96804,IGLV10-54,-0.028736945611882878,0.07439724230958394
GSE96804,IGLV11-55,-0.18563126417696302,0.07468226904006561
GSE96804,IGLV2-18,0.36331098594043376,0.07550884451688826
GSE96804,IGLV2-33,0.5250544074168139,0.07672653314606463
GSE96804,IGLV3-1,0.339882837981831,0.075369229864766
GSE96804,IGLV3-12,0.8831036930852894,0.08099932977312442
GSE96804,IGLV3-16,0.38997258634739196,0.07567904575076508
GSE96804,IGLV3-22,0.6336489802959004,0.0777928797518461
GSE96804,IGLV3-25,0.38477962173135966,0.07564495032023333
GSE96804,IGLV3-27,0.29150141302434435,0.0751103546973135
GSE96804,IGLV4-3,0.23606398165774858,0.07486249986376199
GSE96804,IGLV4-60,-0.4285437548604288,0.07594659771455661
GSE96804,IGLV4-69,0.3902874578059727,0.07568112779837673
GSE96804,IGLV5-37,-0.6848937311599865,0.0783654932497462
GSE96804,IGLV6-57,0.7529230074628785,0.07919442233605721
GSE96804,IGLV7-43,0.17043029870414014,0.07463640056952701
GSE96804,IGLV7-46,0.40268728728225606,0.07576445620191989
GSE96804,INPP5D,1.3299208220330583,0.08937913706241432
GSE96804,ITGA1,0.8102294862692593,0.07995356441447417
GSE96804,ITGA11,1.2310525477787084,0.0872333826769513
GSE96804,ITGA2,0.6690103212102518,0.07818325076587838
GSE96804,ITGA2B,0.7628318214446035,0.0793217048160703
GSE96804,ITGA3,-1.089580159752101,0.08445113309333237
GSE96804,ITGA4,0.833821406437673,0.08028226201967376
GSE96804,ITGA5,1.6634880508336032,0.09784102776062699
GSE96804,ITGA6,0.6456978109426911,0.07792351223342363
GSE96804,ITGA7,0.6658635949578788,0.07814765345405114
