dataset,sample_1,sample_2,pearson_correlation
GSE142025 C1,GSM4217794,GSM4217798,0.7682339823641751
GSE142025 C1,GSM4217794,GSM4217799,0.7260891780890166
GSE142025 C1,GSM4217794,GSM4217800,0.8334950561724929
GSE142025 C1,GSM4217794,GSM4217801,0.7095305897841254
GSE142025 C1,GSM4217794,GSM4217808,0.6106965632085374
GSE142025 C1,GSM4217794,GSM4217809,0.5407545114430283
GSE142025 C1,GSM4217794,GSM4217810,0.7242267805855329
GSE142025 C1,GSM4217794,GSM4217811,0.5793712238693524
GSE142025 C1,GSM4217794,GSM4217812,0.6390251307200318
GSE142025 C1,GSM4217794,GSM4217813,0.5171074334922291
GSE142025 C1,GSM4217794,GSM4217814,0.6554782285661561
GSE142025 C1,GSM4217794,GSM4217815,0.5702393667170735
GSE142025 C1,GSM4217794,GSM4217816,0.6203148641129871
GSE142025 C1,GSM4217795,GSM4217796,0.7466634363981293
GSE142025 C1,GSM4217795,GSM4217797,0.5644058486857002
GSE142025 C1,GSM4217795,GSM4217798,0.6881006402099994
GSE142025 C1,GSM4217795,GSM4217799,0.8107651588072718
GSE142025 C1,GSM4217795,GSM4217800,0.7454034405669717
GSE142025 C1,GSM4217795,GSM4217801,0.5609160665076076
GSE142025 C1,GSM4217795,GSM4217808,0.4522372326722464
GSE142025 C1,GSM4217795,GSM4217809,0.38342829999726685
GSE142025 C1,GSM4217795,GSM4217810,0.5332203535979831
GSE142025 C1,GSM4217795,GSM4217811,0.4222022563053355
GSE142025 C1,GSM4217795,GSM4217812,0.5047777025733767
GSE142025 C1,GSM4217795,GSM4217813,0.41069155439445915
GSE142025 C1,GSM4217795,GSM4217814,0.46964117271501626
GSE142025 C1,GSM4217795,GSM4217815,0.4050793114607271
GSE142025 C1,GSM4217795,GSM4217816,0.4992437537958909
GSE142025 C1,GSM4217796,GSM4217797,0.543028819866918
GSE142025 C1,GSM4217796,GSM4217798,0.8436438576743385
GSE142025 C1,GSM4217796,GSM4217799,0.6638884412197245
GSE142025 C1,GSM4217796,GSM4217800,0.7244651945002504
GSE142025 C1,GSM4217796,GSM4217801,0.7421539191348397
GSE142025 C1,GSM4217796,GSM4217808,0.6573846601976876
GSE142025 C1,GSM4217796,GSM4217809,0.5604475406782223
GSE142025 C1,GSM4217796,GSM4217810,0.5807058852861697
GSE142025 C1,GSM4217796,GSM4217811,0.6077243516078206
GSE142025 C1,GSM4217796,GSM4217812,0.5544897259202556
GSE142025 C1,GSM4217796,GSM4217813,0.5651419767526278
GSE142025 C1,GSM4217796,GSM4217814,0.6897522256858247
GSE142025 C1,GSM4217796,GSM4217815,0.590282910884778
GSE142025 C1,GSM4217796,GSM4217816,0.6778879514995794
GSE142025 C1,GSM4217797,GSM4217798,0.5886663565457508
GSE142025 C1,GSM4217797,GSM4217799,0.5625891026620021
GSE142025 C1,GSM4217797,GSM4217800,0.7740301140353243
GSE142025 C1,GSM4217797,GSM4217801,0.6260657274284114
GSE142025 C1,GSM4217797,GSM4217808,0.7470227479534717
GSE142025 C1,GSM4217797,GSM4217809,0.7559782341312873
GSE142025 C1,GSM4217797,GSM4217810,0.840327512477293
GSE142025 C1,GSM4217797,GSM4217811,0.7349117662202964
GSE142025 C1,GSM4217797,GSM4217812,0.8317704161260714
GSE142025 C1,GSM4217797,GSM4217813,0.7637982458133994
GSE142025 C1,GSM4217797,GSM4217814,0.7185314806196631
GSE142025 C1,GSM4217797,GSM4217815,0.773448826319974
GSE142025 C1,GSM4217797,GSM4217816,0.702931842245855
GSE142025 C1,GSM4217798,GSM4217799,0.6341740460029152
GSE142025 C1,GSM4217798,GSM4217800,0.7014027063452267
GSE142025 C1,GSM4217798,GSM4217801,0.768731107971695
GSE142025 C1,GSM4217798,GSM4217808,0.6210391131190769
GSE142025 C1,GSM4217798,GSM4217809,0.5664899746901457
GSE142025 C1,GSM4217798,GSM4217810,0.6033555811640036
GSE142025 C1,GSM4217798,GSM4217811,0.5858155650744558
GSE142025 C1,GSM4217798,GSM4217812,0.5096953763697173
GSE142025 C1,GSM4217798,GSM4217813,0.5842281839206052
GSE142025 C1,GSM4217798,GSM4217814,0.672018864852282
GSE142025 C1,GSM4217798,GSM4217815,0.5885727440904722
GSE142025 C1,GSM4217798,GSM4217816,0.6730032680180088
GSE142025 C1,GSM4217799,GSM4217800,0.7357405537829229
GSE142025 C1,GSM4217799,GSM4217801,0.5789276818597818
GSE142025 C1,GSM4217799,GSM4217808,0.4608108862333361
GSE142025 C1,GSM4217799,GSM4217809,0.42501938921630467
GSE142025 C1,GSM4217799,GSM4217810,0.5543198824580982
GSE142025 C1,GSM4217799,GSM4217811,0.47564326040482685
GSE142025 C1,GSM4217799,GSM4217812,0.5322426772382525
GSE142025 C1,GSM4217799,GSM4217813,0.4641794524861077
GSE142025 C1,GSM4217799,GSM4217814,0.548006299673229
GSE142025 C1,GSM4217799,GSM4217815,0.47682225849308685
GSE142025 C1,GSM4217799,GSM4217816,0.5424816088135959
GSE142025 C1,GSM4217800,GSM4217801,0.6948934695810117
GSE142025 C1,GSM4217800,GSM4217808,0.6851220824178246
GSE142025 C1,GSM4217800,GSM4217809,0.608836261092765
GSE142025 C1,GSM4217800,GSM4217810,0.779537877654804
GSE142025 C1,GSM4217800,GSM4217811,0.6504721234024865
GSE142025 C1,GSM4217800,GSM4217812,0.7372125506017705
GSE142025 C1,GSM4217800,GSM4217813,0.5902385085699826
GSE142025 C1,GSM4217800,GSM4217814,0.7126096980183699
GSE142025 C1,GSM4217800,GSM4217815,0.6452694684359479
GSE142025 C1,GSM4217800,GSM4217816,0.6730432026574117
GSE142025 C1,GSM4217801,GSM4217808,0.697306299034837
GSE142025 C1,GSM4217801,GSM4217809,0.6385308754599155
GSE142025 C1,GSM4217801,GSM4217810,0.6122623155826804
GSE142025 C1,GSM4217801,GSM4217811,0.6495158229927107
GSE142025 C1,GSM4217801,GSM4217812,0.5821511993277619
GSE142025 C1,GSM4217801,GSM4217813,0.601257849336665
GSE142025 C1,GSM4217801,GSM4217814,0.7016130653137655
GSE142025 C1,GSM4217801,GSM4217815,0.6588495612991014
GSE142025 C1,GSM4217801,GSM4217816,0.6740699799723225
GSE142025 C1,GSM4217808,GSM4217809,0.8793870461247209
GSE142025 C1,GSM4217808,GSM4217810,0.7982619784681922
GSE142025 C1,GSM4217808,GSM4217811,0.8710344608690412
GSE142025 C1,GSM4217808,GSM4217812,0.8322052901044317
GSE142025 C1,GSM4217808,GSM4217813,0.8265019117144048
GSE142025 C1,GSM4217808,GSM4217814,0.8527957210645027
GSE142025 C1,GSM4217808,GSM4217815,0.8761443873813841
GSE142025 C1,GSM4217808,GSM4217816,0.8435645863863491
GSE142025 C1,GSM4217809,GSM4217810,0.7682612689781166
GSE142025 C1,GSM4217809,GSM4217811,0.8684375522206759
GSE142025 C1,GSM4217809,GSM4217812,0.8027673797707683
GSE142025 C1,GSM4217809,GSM4217813,0.8534591499585196
GSE142025 C1,GSM4217809,GSM4217814,0.8213684522249453
GSE142025 C1,GSM4217809,GSM4217815,0.8754878386908248
GSE142025 C1,GSM4217809,GSM4217816,0.8391023263161647
GSE142025 C1,GSM4217810,GSM4217811,0.792411963208257
GSE142025 C1,GSM4217810,GSM4217812,0.8619531507436197
GSE142025 C1,GSM4217810,GSM4217813,0.7677235999615684
GSE142025 C1,GSM4217810,GSM4217814,0.7863945040093065
GSE142025 C1,GSM4217810,GSM4217815,0.7798274229324261
GSE142025 C1,GSM4217810,GSM4217816,0.7912150550647887
GSE142025 C1,GSM4217811,GSM4217812,0.8092091655648848
GSE142025 C1,GSM4217811,GSM4217813,0.8379703941171858
GSE142025 C1,GSM4217811,GSM4217814,0.866946993077459
GSE142025 C1,GSM4217811,GSM4217815,0.8509163259013639
GSE142025 C1,GSM4217811,GSM4217816,0.8597476101296616
GSE142025 C1,GSM4217812,GSM4217813,0.7920180357889832
GSE142025 C1,GSM4217812,GSM4217814,0.7838323669182556
GSE142025 C1,GSM4217812,GSM4217815,0.8119282825535498
GSE142025 C1,GSM4217812,GSM4217816,0.7902679915072569
GSE142025 C1,GSM4217813,GSM4217814,0.8001286770635173
GSE142025 C1,GSM4217813,GSM4217815,0.86448075923569
GSE142025 C1,GSM4217813,GSM4217816,0.804077265347805
GSE142025 C1,GSM4217814,GSM4217815,0.8470276179215327
GSE142025 C1,GSM4217814,GSM4217816,0.8673055298923475
GSE142025 C1,GSM4217815,GSM4217816,0.8499100672256897
