gene_symbol,mapping_status,n_samples,n_dkd,n_control,n_male,n_female,unadjusted_mean_difference,unadjusted_welch_p,sex_adjusted_disease_beta,sex_adjusted_disease_se,sex_adjusted_disease_p,direction_changed_after_sex_adjustment,sex_adjusted_fdr_bh_145
FGG,MAPPED,61.0,41.0,20.0,43.0,18.0,0.06714969512195079,0.3773887039040127,0.0669868339100349,0.08185111354938027,0.41647943229034545,False,0.5344205104610628
TGFB2,MAPPED,61.0,41.0,20.0,43.0,18.0,1.0721081463414626,1.1881588622955877e-07,1.0718862687427921,0.22823685367698965,1.667004080983771e-05,False,0.00015107224483915425
SMAD4,MAPPED,61.0,41.0,20.0,43.0,18.0,-0.04330521951219701,0.38294794680358835,-0.042507485582466864,0.05769425446692521,0.46423116634656625,False,0.5815655318501527
TFPI,MAPPED,61.0,41.0,20.0,43.0,18.0,-0.13477048780487877,0.1685396696559843,-0.13506372549019569,0.09774696727565713,0.17234198198372888,False,0.25499578966980296
PROC,MAPPED,61.0,41.0,20.0,43.0,18.0,-0.36826620731707305,0.0009219953717191436,-0.368397237600923,0.09529662904853027,0.0002822293155334115,False,0.0011060338041174234
SMAD7,MAPPED,61.0,41.0,20.0,43.0,18.0,0.015341292682926166,0.7806050374004033,0.015203235294118128,0.05104137920851648,0.7668736449428629,False,0.8553590655131933
TGFB3,MAPPED,61.0,41.0,20.0,43.0,18.0,0.6330378048780476,1.1086989966998556e-08,0.632670149942331,0.12532888481711388,4.719493072683033e-06,False,5.7027207961586646e-05
THBD,MAPPED,61.0,41.0,20.0,43.0,18.0,0.6595641219512194,3.873782969928947e-08,0.658946216839678,0.13355317644767037,7.1321809945770196e-06,False,7.386901744383343e-05
ROBO4,MAPPED,61.0,41.0,20.0,43.0,18.0,-0.3549501585365844,0.006871298435029739,-0.35569700692041456,0.12917064373559156,0.007856064233876204,False,0.016273275913029277
CCL8,MAPPED,61.0,41.0,20.0,43.0,18.0,0.4383733048780485,1.6479859737733838e-05,0.43749646482122306,0.1110201536222217,0.00022094224749203429,False,0.0009708068450407566
PLAU,MAPPED,61.0,41.0,20.0,43.0,18.0,0.46615252439024335,0.00013441787638976738,0.4651155767012689,0.13770409569009437,0.0013111331394476428,False,0.003587062362639778
PLVAP,MAPPED,61.0,41.0,20.0,43.0,18.0,1.0562009024390244,0.00012712108610343366,1.0552685697808548,0.3011267719118626,0.0008891871486125228,False,0.002686086178100329
ICAM1,MAPPED,61.0,41.0,20.0,43.0,18.0,-0.06624226829268309,0.5264966805569761,-0.06688495963091065,0.09540422982450787,0.4860631977883947,False,0.6023860143531387
SKI,MAPPED,61.0,41.0,20.0,43.0,18.0,0.05269992682926805,0.21944677556465003,0.05270689158016191,0.04305761595944918,0.22586315960587525,False,0.3184938389793778
ID1,MAPPED,61.0,41.0,20.0,43.0,18.0,-0.7497760975609769,0.0004544707529444547,-0.7465238004613608,0.1838592237751833,0.00014875875770790806,False,0.0007736087864635583
SERPINE1,MAPPED,61.0,41.0,20.0,43.0,18.0,0.6102463780487799,0.003339060931040115,0.6062976470588239,0.21859585086205963,0.0074448168500364535,False,0.015644904974714286
THBS1,MAPPED,61.0,41.0,20.0,43.0,18.0,-0.4345421951219528,0.0007461384023429586,-0.43478662053056427,0.1417562361991934,0.003281103088727055,False,0.007799343407629885
HIF1A,MAPPED,61.0,41.0,20.0,43.0,18.0,0.595301341463415,1.3949254243581805e-05,0.5945445790080748,0.16039907559623778,0.00047112719951331505,False,0.0016594334640048331
SLC2A1,MAPPED,61.0,41.0,20.0,43.0,18.0,-0.12197875609756181,0.34551170731175707,-0.12229188581314879,0.10020473628608886,0.2272443388283626,False,0.3184938389793778
